split,audio_path,syllabary,target
train,training_data/processed/sentence_audio/Sentence_for_entry_1185.wav,ᎢᏅᎯ ᏪᏙᎭ ᏣᏛᎪᏗᎢ,invhi wetoha tsahthvkoti'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0133_01.wav,ᎠᏕᎳ ᎤᎪᎭ ᎦᏙᎯ ᎠᎲ ᎤᎩᏒᎢ,atela ukoha katohi ahv ukihsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1192_02.wav,ᎯᎳ ᎢᏳᏓᎵ ᏣᏩᏛᎯᏙᎰᎢ,hila iyutali tshawhahthvhitoho'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0375.wav,ᏧᎾᏕᏠᏆᏍᏗ ᏓᏕᏲᎲᏍᎪ ᎠᏂᏁᎵ,tsunatelhkwahsti tateyhohvhsko anineli
train,training_data/processed/sentence_audio/Sentence_for_entry_1456.wav,ᏏᏅᏓ ᎤᏂᎯᎵᏙᎸ ᎦᎵᏦᏕ ᎠᎾᏁᏍᎨᏍᎬᎢ,sinvta unihi'litolv kalhtsote ananhehskehskv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1615.wav,ᎤᏂᎿᏑᎦ ᏕᎦᏕᎠ,uninhahsuka tekate'a
train,training_data/processed/sentence_audio/Sentence_for_entry_0132.wav,ᏧᏙᏓᏋᏓ ᏎᎷ ᎦᏚ ᎤᏂᎩᏍᏗ ᎤᏂᎸᏉᏓ ᎠᏂᏣᎳᎩ,tsutotakwvta hselu katu unikihsti unilvkwhta anitsalaki
train,training_data/processed/sentence_audio/Sentence_for_entry_0878.wav,ᎾᎥ ᎢᏦᎩᎾᏓᎵ ᎤᎶᎯᏍᏔᏅ ᏗᏓᎾᏅ ᏩᎦᏘ,na'v itsokinatali ulohihsthanv titananv wakhthi
train,training_data/processed/sentence_audio/Sentence_for_entry_0841.wav,ᏧᏂᎸᏫᏍᏓᏁᎯ ᏅᏯ ᏓᏂᏢᏍᎦ ᎦᏙᎯ ᎠᏔᎴᏒᎢ,tsunilvwhihstanehi nvya tanilhvhska katohi athalehsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1672.wav,ᎤᎵᏬᏨᎢᏍ Ꮎ ᎢᎾᏓ,uliwhotsv'ihs na inata
train,training_data/processed/sentence_audio/Sentence_for_entry_1757.wav,ᎤᏥᏈᏍᏗ ᎤᎦᎿᏅ ᏒᎯ ᏥᎨᏒᎢ,utskwihsti ukanhanv hsvhi tsikehsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1701.wav,ᎤᎾᎶᎢᏓᏍ ᎠᎿᏬ ᏘᏁᏏ,unalo'itahs anhawo thinehsi
train,training_data/processed/sentence_audio/Sentence_for_entry_0377.wav,ᏦᎢ ᏧᏕᏘᏴᏓ ᎠᎩᏴᏢ ᎠᏂᏲᏍᎩᎢ,tso'i tsutethiyvta akiyvlhv aniyohski'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0124.wav,ᎯᎠ ᎠᏍᎦᏯ ᎠᏎ ᎠᎦᏑᏰᏓ ᎤᏬᏂᎯᏍᏗᎢ,hi'a ahskaya ahse akahsuyeta uwonihihsti'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0361.wav,ᏧᏃᏚᎯ ᎠᎾᏓᎪᎾᏘᏗᏍᎬ ᎤᏖᎳᏛᎢ,tsunotuhi anatakonathtihskv uthela'tv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1255.wav,ᏐᏁᎳᏚ ᎢᏍᎪᎯᏥᏆ ᎦᎵᏆᏍᎪ ᏅᎩ ᎤᏕᏘᏴᏌᏗᏒ ᎢᏤ ᏧᏂᏒᏍᏗ ᎤᎾᏁᏍᎨᎲ ᎠᏂᏣᎳᎩ ᏓᎵᏆ ᎾᎥᎢ,sonhelatu ihskohitskwa kalhkwahsko nvhki utethiyvhsatihsv itse tsunihsvhsti unanhehskehv anitsalaki talikwa na'v'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0818.wav,ᎠᏏᎳᏛ ᎦᏛᎥᏍᎦ ᎠᏆᎿᏬ,ahsilatv katv'vhska akwanhawo
train,training_data/processed/sentence_audio/Sentence_for_entry_1365.wav,ᏅᏅᏓᎩ ᏩᏥ Ꮟ ᎠᎹᏱ ᏫᏂᏣᏕᏘᏅᎾ,nhvnhtaki watsi hsi amayi winitsatethinvna
train,training_data/processed/sentence_audio/Sentence_for_entry_1795_02.wav,ᏦᎯᏳᏎᏍᏗ,tsohiyuhsehsti
train,training_data/processed/sentence_audio/Sentence_for_entry_1684.wav,Ꮎ ᎠᎾᎳᏍᎦᎵᏍᎩ ᏗᏤ ᏚᎾᎵᏍᏚᎳ,na analahskalihski titse tunalhstula
train,training_data/processed/sentence_audio/Sentence_for_entry_1101_01.wav,ᎪᏍᏛᏂᎯ ᏍᏓᏱ ᎤᏩᏂᎸ ᏍᏆᏞᏍᏗ,kohstvnihi hstayi uwanhilv hskwalhehsti
train,training_data/processed/sentence_audio/Sentence_for_entry_1248.wav,ᏧᎵᏏᏅᏓᏍ ᏕᏣᎸᏫᏍᏓᏁᎰᎢ,tsulhsinhvtahs tetsalvwhihstaneho'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1045_02.wav,ᏍᏉᎯᏳᏓᏁᏗ ᎠᏆᏚᎵᎭ,skwohiyhtanehti akwatuliha
train,training_data/processed/sentence_audio/Sentence_for_entry_1009_02.wav,ᏍᎪᎯ ᎢᏯᏂᎢ ᏴᏫ ᏚᏬᎥᎢ,skohi iyani'i yvwi tuwo'v'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1002.wav,ᎦᏖᏌᏗ ᎤᏲᎭ ᏗᏓᏍᏓᏴᎲᏍᎩ,kathehsati uyhoha titahstayvhvhski
train,training_data/processed/sentence_audio/Sentence_for_entry_0652.wav,ᏗᏓᏟᎶᏍᏗᏍᎩ ᎤᎷᏨ ᎠᎾᎳᏍᎦᎵᏍᎬᎢ,titalhilohstihski uluhtsv analahskalihskv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1446.wav,ᏗᏍᏇᏅ ᎬᏗ ᎤᎾᏟᎸ ᎠᏂᏧᏣ,tihskwenhv kvhti unalhilv anitshutsa
train,training_data/processed/sentence_audio/Sentence_for_entry_1197.wav,ᎯᎳ ᎢᏳᏩᎪᏗ ᎢᏣᏓᏬᏓ ᎪᎯ ᎪᎩ,hila iyuwakhti itsatawota khohi koki
train,training_data/processed/sentence_audio/Sentence_for_entry_1211.wav,ᎢᎦᏓ ᏥᏍᏆ ᏧᎦᏃᏮ ᏩᏂᎶᏍᎪ ᎪᎳ ᏱᏄᎵᏍᏔᎾ,ikata tsihskwa tsukanowv wanilohsko kola yinulhsthana
train,training_data/processed/sentence_audio/Sentence_for_entry_0332.wav,ᎭᎵᏌᎳᏛᎦ ᏞᎦ,halhsalatvka lheka
train,training_data/processed/sentence_audio/Sentence_for_entry_0504.wav,ᏧᏃᏚᎯ ᎠᏂᏥᎸᏍᎩ ᏓᏛᎯᏍᏗᏍᎪᎢ,tsunotuhi anitsilvhski tathvhihstihsko'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0259.wav,ᎠᏥᎳ ᎪᏢᏗ ᎬᏗ ᎤᏥᏍᎳᏅᎢ ᎪᎩᏍᏗ,atsil kolhvhti kvhti utsihslhanv kokhsti
train,training_data/processed/sentence_audio/Sentence_for_entry_0026.wav,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ ’ᏞᏍᏗ ᏣᏓᏲᏁᎸᎢ’ ᎠᏗᎭ,tshaneline tikhanowatvhsti lhehsti tsatayhonelv'i atiha
train,training_data/processed/sentence_audio/Sentence_for_entry_0221_02.wav,ᎭᏢ ᎯᏯᏅᎮ ᎯᎠ ᎩᏟ,halhv hiyanvhe hi'a kilhi
train,training_data/processed/sentence_audio/Sentence_for_entry_0290.wav,ᏍᎩᎦᏘᏰᏍᏗ ᎩᎳᏊ ᏛᏥᎷᏥ,skikhthiyehsti khilakwu tvtsiluhtsi
train,training_data/processed/sentence_audio/Sentence_for_entry_0694.wav,ᎬᏔᏅᏙᏗ ᎤᏩᏒᏍᎦ ᏗᏁᏍᎨᏍᎩ,kvhthanvtohti uwhahsvhska tinhehskehski
train,training_data/processed/sentence_audio/Sentence_for_entry_0630.wav,ᏕᎦᎵᏗ ᎧᎵ ᏚᏭᏖᏎ ᏐᎯ,tekalhti khali tuwuthehse hsohi
train,training_data/processed/sentence_audio/Sentence_for_entry_1013.wav,ᏥᏈᏍᏗ ᎦᏬᏂᎭ ᎠᏎᏃ Ꮭ ᎪᎱᏍᏗ ᏯᏗᎭ,tskwihsti kawoniha ahsenho lha kohuhsti yatiha
train,training_data/processed/sentence_audio/Sentence_for_entry_1609.wav,ᎢᎦᏓ ᏚᎿᎷᏛ ᏧᏍᏗ ᎨᏐᎢ,ikata tunhalutv tsuhsti kehso'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0185.wav,ᏍᏆᏞᏍᏗ ᎤᏩᏂᎳ ᏦᎳᏂ ᎤᎵᎪᏛᏅᎢ,skwalhehsti uwanhila tsolani ulhkhotvnhv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0136.wav,ᎠᎩᎾ ᎤᏩᎧᎭ ᏐᏈᎵ ᎠᏆᏤᎵ,akina uwakhaha hsokwili akwatseli
train,training_data/processed/sentence_audio/Sentence_for_entry_0830.wav,ᎦᎵᏉᎩ ᏧᏒᎯᏓ ᏒᎾᏙᏓᏆᏍᏗ ᏂᎦᎵᏍᏗᏍᎪᎢ,kalhkwoki tsuhsvhita hsvntotakwahsti nikalhstihsko'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1829.wav,ᏩᎱᎯ ᏭᏍᏕᎵᏗ ᎠᎨᏳᏣ ᏥᏲᎵᎦ,wahuhi wuhstelhti akeyhutsa tsiyolika
train,training_data/processed/sentence_audio/Sentence_for_entry_1267.wav,ᎧᎵᏎᏥ ᎤᏩᎯ ᎧᎵᏎᏥ ᏧᏬᏢᏙᏗ,khalhsetsi uwhahi khalhsetsi tsuwolhvhtoti
train,training_data/processed/sentence_audio/Sentence_for_entry_0366.wav,ᎯᎠ ᎠᎨᏳᏣ ᎠᏧᏣᏃ ᎤᎾᎵᎪᏗ ᎤᎾᏚᎵᎭ,hi'a akeyhutsa atshutsanho unalikhti unatuliha
train,training_data/processed/sentence_audio/Sentence_for_entry_1777.wav,ᎤᎵᏨᏓᏩᏓ ᎤᏁᏡᏅ ᏩᏯ ᎤᏒ ᏥᎨᏒᎢ,ulhtsvtawata unelhunhv wayha uhsv tsikehsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1140.wav,Ꮭ ᎩᎶ ᏱᏥᎪᏩᏘ ᏥᏲᎵᎩ,lha khilo yitsikowahthi tsiyoliki
train,training_data/processed/sentence_audio/Sentence_for_entry_0584.wav,ᏢᏓᏥ ᏗᏏᎾᎲᏍᏗᏍᎩ ᏢᏓᏥ ᏚᎦᏘᎸᏒᎢ,lhvtatsi tihsinahvhstihski lhvtatsi tukhthilvhsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0650.wav,ᏧᎾᏓᏍᏚᏗ ᎠᎦᏘᏅᏒ ᏗᏓᎯᎯ ᎠᏥᏂᏴᎭ,tsunatahstuti akathinhvhsv titahihi atsiniyvha
train,training_data/processed/sentence_audio/Sentence_for_entry_0384.wav,ᎠᏂᏁᎵ ᏧᎿᏬ ᏓᏍᏓᎦᏴᏗᎭ,anineli tsunhawo tahstakayhtiha
train,training_data/processed/sentence_audio/Sentence_for_entry_1239.wav,ᏧᎦᏒᏍᏗ ᎤᎭᏴᏞ ᎠᎾᏗᎭ,tsukhsvhsti uhayvlhe anatiha
train,training_data/processed/sentence_audio/Sentence_for_entry_0588.wav,ᎦᎪ ᏓᏆᎳᎩᏍᎨ ᎤᏒ ᏥᎨᏒ,kako takwhalakihske uhsv tsikehsv
train,training_data/processed/sentence_audio/Sentence_for_entry_1281.wav,ᎧᏁᎩᏍ ᏥᏯᎵᏃᎮᏗᏍᎬ ᏝᎨ,khanekihs tshiyalinohehtihskv lhakhe
train,training_data/processed/sentence_audio/Sentence_for_entry_0624.wav,ᏓᏫᏍᎦᎳ ᎪᏢᏔᏅ ᎦᏟᏓ ᎤᏍᎧ ᎤᏩᏛᎲᎢ,tawihskala kolhvhthanv kalhita uhskha uwhahthvhv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1460.wav,ᏐᏈᎵ ᏓᎾᏙᎩᏯᏍᏗᎭ,sokwili tanthohkiyahstiha
train,training_data/processed/sentence_audio/Sentence_for_entry_0353.wav,ᎦᏄᎪᎬ ᎣᏥᏁᎩᏍᎪ ᎠᎹ ᎣᎦᏗᏔᏍᏗ,kanukokv otsinekihsko ama okatithahsti
train,training_data/processed/sentence_audio/Sentence_for_entry_0521.wav,ᎠᎹ ᎤᏤᏩᏍᏙᏔᏅ ᎠᏲᏓᏝᎲᎢ,ama utsewahstohthanv ayotalhahv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1010.wav,ᎪᎱᏍᏗ ᎡᏣᏛᏛᏅ ᎭᏬᎯᎵᏴᏒᎢ,kohuhsti etsahthvtvnhv hawohiliyvhsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1170.wav,ᎢᎬᏱᏍ ᎯᎷᎩ ᏏᏅ ᎠᏴ ᎨᏒ,ikvyihs hi'luhk hsinhv ayv kehsv
train,training_data/processed/sentence_audio/Sentence_for_entry_0020.wav,ᎤᏓᏃᏰᏗ ᎤᏚᎵ ᎠᏎᏃ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ,uthanoyehti utuli ahsenho lha athanoyo yuwaya
train,training_data/processed/sentence_audio/Sentence_for_entry_0113_01.wav,Ꮲ ᎠᏇᏅᏍᏗ ᎦᏛᏅᎢᏍᏗᎭ,lhv akwenvhsti katvnv'ihstiha
train,training_data/processed/sentence_audio/Sentence_for_entry_0466_02.wav,ᎤᎸᏌᏗ ᎧᎵ ᎤᏅᏗ ᎤᏒᏅᎢ,ulvhsa'ti khali unvti uhsvnhv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0563.wav,ᏲᎾ ᏚᏟᎶᏍᏔᏅᎢ,yona tulhilohsthanv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0507.wav,Ꮭ ᏯᏆᏅᏖ ᎠᏂᏔᎵ ᎠᏂᏫᏄᏣ ᏕᏣᎧᎲᎢ,lha yakwanhthe anitha'li aniwinutsa tetsakhahv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1406.wav,ᎣᏂ ᎤᎷᏨᎢ,onhi uluhtsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0047.wav,ᎤᏔᎾ ᎢᎾᏓ ᎠᏓᎾᏏᏂ,uthana inata atanhsini
train,training_data/processed/sentence_audio/Sentence_for_entry_1108.wav,ᎯᎳ ᎢᏯᏂᎢ ᎬᎾ ᏕᎯᎾᏝᎠ,hila iyani'i kvna tehinalha'a
train,training_data/processed/sentence_audio/Sentence_for_entry_1573.wav,ᎤᏓᏪᏐᎸᏍᏙᏗ ᎤᏚᎵᎭ,utawehsolvhstohti utuliha
train,training_data/processed/sentence_audio/Sentence_for_entry_0570.wav,ᏓᏄᎪ ᎾᎥ ᎪᏢ ᎦᏘᏲᎢ,tanhuko na'v kolhv kathiyo'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0342.wav,ᎪᎱᏍᏗ ᎤᏩᏂᎳ ᎠᎦᏙᎵ ᎤᎵᏍᏛᏂᎸᎢ,kohuhsti uwanhila akhtholi ulhstvnhilv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1214.wav,ᎨᏛ ᎤᎩᎳ ᏥᏔᎦ ᎠᏨᏯ ᎠᏴᎦ,kethv ukhi'la tsithaka atshvya ayhka
train,training_data/processed/sentence_audio/Sentence_for_entry_0993.wav,ᎦᏍᎩᎶ ᏗᏟᎨᏍᎩ ᎤᏬᏢᏅ ᎡᏚᏥ,kahskilo titlhihkehski uwotlhvnhv etutsi
train,training_data/processed/sentence_audio/Sentence_for_entry_0372.wav,ᏔᎵ ᎢᏳᏟᎶᏓ ᎢᎪᎯᏓ ᎠᏂᏙᎾᎥᎢ,tha'li iyulhilota ikohita anitona'v'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1008.wav,ᎢᎾ ᏱᏚᎯᎴᎾ ᏩᎦ ᎯᎸᏍᎩ ᎢᏳᏩᎩᏗ ᏕᎦᏪᏐᎸᏍᏗᏍᎪᎢ,ina yituhi'lena wahka hilvhski iyuwakhti tekawehsolvhstihsko'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1771_01.wav,ᎤᏩᏌ ᎤᎷᏨᎢ,uwahsa uluhtsv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1713.wav,ᎤᏂᏏ ᎤᏛᎯᏍᏔᏅᎢ,unihsi uthvhihsthanv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0832.wav,ᎦᏟᏓ ᎤᏲᏍᏔᎾ ᏄᏓᎴ ᏭᏴᎲᎢ,kalhita uyohsthana nutale wuyvhv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0568.wav,ᏕᎦᏂᏪᎠ ᎠᎩᏒᏍᏗ ᎤᎬᏩᏟ,tekaniwe'a akhsvhsti ukvwalhi
train,training_data/processed/sentence_audio/Sentence_for_entry_1021.wav,ᎦᏳᎳᏍ ᏫᏤᏙᎳ ᏗᎦᏚᎲᎢ,kayulahs witsetola tikatuhv'i
train,training_data/processed/sentence_audio/Sentence_for_entry_0810.wav,ᏗᎦᏘᏗ ᏩᎩᏝ ᎦᏚ,tikathti wakilha katu
train,training_data/processed/sentence_audio/Sentence_for_entry_1431.wav,ᏍᏚᎢᏍᏗ ᎦᎶᎯᏍᏗ ᎠᏍᏚᎢᏍᏙᏗ,stu'ihsti kalohsti ahstu'ihstohti
train,training_data/processed/sentence_audio/Sentence_for_entry_1023_01.wav,ᏩᏯ ᏱᏚᏛᎦᎾ ᎩᏟ ᎨᏡᎲᏍᎪᎢ,wayha yituthvkana kilhi kelhuhvhsko'i
train,training_data/processed/sentence_audio/Sentence_for_entry_1370.wav,ᏯᏂᎷᎩᏊ ᏑᎾᎴ ᏃᏊᎴ ᏄᏂᎷᏨᎾᏊ ᏱᎩ,yaniluhkikwu hsunale nokwule nuniluhtsvnakwu yiki
